"id","ALUMNOS","ESPAÑOL","MATEMATICAS","INGLES","CIENCIAS_NATURALES","HISTORIA","EDUCACION_FISICA","ARTES","TECNOLOGIA","NUM_FALTAS","PARTICIPACIONES","RENDIMIENTO"
411,"ROSALÍA FLORES MARTÍNEZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
412,"ANDRÉS MORALES SÁNCHEZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
413,"CRISTINA TORRES GONZÁLEZ",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
414,"CARLOS GÓMEZ MARTÍNEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
415,"MARÍA MARTÍNEZ RAMÍREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
416,"JORGE RAMÍREZ PÉREZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
417,"LUISA GONZÁLEZ HERRERA",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
418,"FRANCISCO RAMÍREZ MARTÍNEZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
419,"LAURA PÉREZ GONZÁLEZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
420,"ALEJANDRO HERNÁNDEZ CRUZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
421,"MÓNICA FLORES DÍAZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
422,"JUAN MORALES GARCÍA",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
423,"PATRICIA TORRES HERRERA",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
424,"ALFREDO GÓMEZ PÉREZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
425,"ROSARIO RAMÍREZ LÓPEZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
426,"MIGUEL MARTÍNEZ HERNÁNDEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
427,"SOFÍA GONZÁLEZ PÉREZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
428,"FRANCISCO RAMÍREZ SÁNCHEZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
429,"ALICIA PÉREZ GONZÁLEZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
430,"JORGE HERNÁNDEZ MARTÍNEZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
431,"LUZ FLORES RAMÍREZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
432,"DAVID MORALES HERRERA",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
433,"VERÓNICA TORRES LÓPEZ",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
434,"CARLOS GÓMEZ HERNÁNDEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
435,"ANA MARTÍNEZ PÉREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
436,"JOSÉ RAMÍREZ LÓPEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
437,"MARÍA GONZÁLEZ RAMÍREZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
438,"ALFONSO RAMÍREZ PÉREZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
439,"ELENA PÉREZ HERRERA",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
440,"RAÚL HERNÁNDEZ GONZÁLEZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
441,"ROSALÍA FLORES MARTÍNEZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
442,"ANDRÉS MORALES SÁNCHEZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
443,"CRISTINA TORRES GONZÁLEZ",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
444,"CARLOS GÓMEZ MARTÍNEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
445,"MARÍA MARTÍNEZ RAMÍREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
446,"JORGE RAMÍREZ PÉREZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
447,"LUISA GONZÁLEZ HERRERA",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
448,"FRANCISCO RAMÍREZ MARTÍNEZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
449,"LAURA PÉREZ GONZÁLEZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
450,"ALEJANDRO HERNÁNDEZ CRUZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
451,"MÓNICA FLORES DÍAZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
452,"JUAN MORALES GARCÍA",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
453,"PATRICIA TORRES HERRERA",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
454,"JOSUÉ GRANADOS CORTÉS",85.0,88.0,87.0,89.0,87.0,91.0,86.0,88.0,5,4,"Bueno"
455,"ZURI ANAHI GRANADILLA VEGA",90.0,95.0,94.0,96.0,93.0,97.0,92.0,95.0,3,5,"Excelente"
456,"ALVARO FERNANDO HERNANDEZ BADILLO",82.0,85.0,83.0,86.0,84.0,88.0,81.0,85.0,6,4,"Bueno"
457,"JAIME BAUTISTA CARDONA",80.0,83.0,81.0,85.0,82.0,87.0,80.0,84.0,7,4,"Bueno"
458,"ARLETTE CRUZ LUNA",92.0,95.0,93.0,97.0,94.0,98.0,93.0,96.0,3,5,"Excelente"
459,"ARELY DEYANIRA TAMARIZ ROMERO",91.0,94.0,92.0,95.0,93.0,96.0,92.0,94.0,2,5,"Excelente"
460,"CARLOS LÓPEZ HERNÁNDEZ",84.0,88.0,86.0,89.0,87.0,91.0,85.0,88.0,5,4,"Bueno"
461,"MARTA PÉREZ GONZÁLEZ",62.0,67.0,65.0,66.0,64.0,69.0,63.0,66.0,14,3,"Regular"
462,"ISAI LARA MOJICA",91.0,93.0,92.0,94.0,95.0,96.0,90.0,93.0,4,5,"Excelente"
463,"SOFÍA HERNÁNDEZ CRUZ",55.0,60.0,58.0,59.0,57.0,64.0,61.0,60.0,20,2,"Malo"
464,"ALICIA GARCÍA LÓPEZ",78.0,82.0,80.0,84.0,83.0,87.0,82.0,85.0,8,4,"Bueno"
465,"JUAN RAMÍREZ MARTÍNEZ",69.0,74.0,72.0,71.0,70.0,77.0,73.0,72.0,12,3,"Regular"
466,"ANDREA GONZÁLEZ PÉREZ",95.0,94.0,96.0,92.0,95.0,97.0,94.0,95.0,2,5,"Excelente"
467,"ANGEL DE JESUS LARA BARRERA",50.0,55.0,53.0,54.0,52.0,60.0,56.0,54.0,25,1,"Malo"
468,"JAVIER HERNÁNDEZ GARCÍA",83.0,87.0,85.0,88.0,86.0,90.0,84.0,87.0,6,4,"Bueno"
469,"PATRICIA PÉREZ MARTÍNEZ",72.0,75.0,73.0,74.0,72.0,78.0,74.0,73.0,11,3,"Regular"
470,"ALBERTO RAMÍREZ CRUZ",88.0,91.0,90.0,93.0,91.0,94.0,89.0,92.0,4,5,"Excelente"
471,"VICTORIA GONZÁLEZ LÓPEZ",57.0,62.0,60.0,59.0,58.0,65.0,62.0,61.0,22,3,"Malo"
472,"RAFAEL LÓPEZ MARTÍNEZ",76.0,80.0,78.0,81.0,79.0,86.0,77.0,80.0,9,4,"Bueno"
473,"ROSA RAMÍREZ HERNÁNDEZ",63.0,69.0,66.0,65.0,64.0,70.0,68.0,66.0,13,3,"Regular"
474,"LUIS MARTÍNEZ GARCÍA",94.0,96.0,95.0,97.0,96.0,98.0,95.0,96.0,3,5,"Excelente"
475,"CAROLINA PÉREZ CRUZ",54.0,57.0,55.0,53.0,52.0,60.0,58.0,56.0,23,2,"Malo"
476,"FELIPE HERNÁNDEZ LÓPEZ",81.0,85.0,83.0,86.0,84.0,88.0,82.0,85.0,6,4,"Bueno"
477,"ARACELI GONZÁLEZ RAMÍREZ",66.0,71.0,68.0,67.0,66.0,73.0,70.0,68.0,12,3,"Regular"
478,"ARTURO LÓPEZ HERNÁNDEZ",89.0,92.0,91.0,94.0,92.0,95.0,90.0,92.0,4,5,"Excelente"
479,"MANUEL PÉREZ MARTÍNEZ",58.0,63.0,61.0,60.0,59.0,66.0,62.0,61.0,21,2,"Malo"
480,"ANA RAMÍREZ CRUZ",75.0,80.0,78.0,82.0,80.0,85.0,77.0,79.0,10,4,"Bueno"
481,"JULIETA GONZÁLEZ GARCÍA",68.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
482,"OSCAR LÓPEZ HERNÁNDEZ",93.0,95.0,94.0,96.0,95.0,97.0,93.0,95.0,3,5,"Excelente"
483,"FRANCISCA PÉREZ RAMÍREZ",53.0,58.0,55.0,54.0,52.0,61.0,57.0,55.0,24,2,"Malo"
484,"ISMAEL HERNÁNDEZ LÓPEZ",80.0,84.0,82.0,85.0,83.0,87.0,81.0,84.0,6,4,"Bueno"
485,"MARGARITA GONZÁLEZ MARTÍNEZ",67.0,70.0,68.0,67.0,66.0,72.0,69.0,68.0,13,3,"Regular"
486,"SERGIO LÓPEZ RAMÍREZ",90.0,93.0,92.0,95.0,93.0,96.0,91.0,93.0,4,5,"Excelente"
487,"MÓNICA PÉREZ GONZÁLEZ",56.0,61.0,59.0,57.0,55.0,63.0,61.0,59.0,22,3,"Malo"
488,"IGNACIO RAMÍREZ HERNÁNDEZ",77.0,81.0,79.0,82.0,80.0,86.0,78.0,80.0,8,4,"Bueno"
489,"FERNANDA GONZÁLEZ LÓPEZ",65.0,70.0,68.0,67.0,66.0,73.0,71.0,68.0,12,3,"Regular"
490,"MARIO LÓPEZ MARTÍNEZ",88.0,91.0,90.0,93.0,91.0,94.0,89.0,92.0,4,5,"Excelente"
491,"MIRIAM PÉREZ CRUZ",58.0,63.0,60.0,59.0,58.0,65.0,62.0,60.0,21,3,"Malo"
492,"ANDREA RAMÍREZ HERNÁNDEZ",76.0,80.0,78.0,81.0,79.0,85.0,77.0,80.0,9,4,"Bueno"
493,"ALICIA GONZÁLEZ LÓPEZ",64.0,69.0,67.0,66.0,65.0,72.0,70.0,67.0,13,3,"Regular"
494,"JESÚS LÓPEZ HERNÁNDEZ",92.0,94.0,93.0,95.0,94.0,97.0,92.0,94.0,3,5,"Excelente"
495,"LAURA PÉREZ RAMÍREZ",52.0,56.0,54.0,53.0,51.0,60.0,56.0,54.0,24,2,"Malo"
496,"MARCOS HERNÁNDEZ MARTÍNEZ",81.0,85.0,83.0,86.0,84.0,89.0,82.0,85.0,6,4,"Bueno"
497,"GABRIELA GONZÁLEZ RAMÍREZ",67.0,71.0,69.0,68.0,67.0,74.0,71.0,70.0,13,3,"Regular"
498,"SALVADOR LÓPEZ HERNÁNDEZ",89.0,92.0,91.0,94.0,92.0,96.0,90.0,93.0,4,5,"Excelente"
499,"VERÓNICA PÉREZ MARTÍNEZ",55.0,60.0,58.0,56.0,54.0,63.0,60.0,58.0,22,3,"Malo"
500,"ARTURO RAMÍREZ CRUZ",75.0,79.0,77.0,81.0,79.0,84.0,76.0,79.0,10,4,"Bueno"
504,"Juan Pérez López",85.0,90.0,88.0,92.0,87.0,95.0,80.0,85.0,2,5,"Bueno"
505,"María López García",78.0,83.0,85.0,79.0,81.0,88.0,75.0,78.0,3,4,"Regular"
506,"Carlos González Martínez",95.0,98.0,92.0,97.0,93.0,99.0,90.0,92.0,1,6,"Excelente"
507,"Ana Martínez Ruiz",60.0,70.0,65.0,75.0,72.0,65.0,60.0,70.0,5,3,"Deficiente"
508,"Laura Rodríguez Hernández",88.0,85.0,87.0,84.0,82.0,90.0,85.0,88.0,2,4,"Bueno"
509,"Luis Sánchez Fernández",76.0,80.0,78.0,79.0,77.0,80.0,70.0,76.0,3,5,"Regular"
510,"Patricia Fernández González",90.0,93.0,89.0,91.0,88.0,95.0,85.0,90.0,1,6,"Muy Bueno"
511,"Jorge Ramírez Pérez",82.0,87.0,84.0,86.0,83.0,85.0,80.0,82.0,2,5,"Bueno"
512,"Andrea Torres López",70.0,75.0,73.0,72.0,74.0,78.0,68.0,70.0,4,3,"Regular"
513,"David González Ramírez",65.0,60.0,67.0,66.0,63.0,70.0,55.0,60.0,6,2,"Deficiente"
514,"Laura García Ramírez",95.0,93.0,91.0,92.0,89.0,94.0,85.0,90.0,1,6,"Excelente"
515,"Sofía Martínez González",87.0,85.0,83.0,88.0,84.0,89.0,80.0,85.0,2,5,"Bueno"
516,"Daniel Pérez Torres",78.0,80.0,79.0,82.0,76.0,83.0,70.0,75.0,3,4,"Regular"
517,"Lucía Hernández Sánchez",88.0,90.0,87.0,89.0,85.0,91.0,82.0,87.0,2,5,"Muy Bueno"
518,"José Luis Fernández García",92.0,95.0,90.0,91.0,88.0,94.0,85.0,92.0,1,6,"Excelente"
519,"Claudia García Fernández",76.0,79.0,78.0,80.0,75.0,82.0,72.0,78.0,3,4,"Regular"
520,"Alejandro Ruiz Pérez",85.0,88.0,87.0,89.0,86.0,90.0,80.0,85.0,2,5,"Bueno"
521,"Cristina Torres Martínez",90.0,92.0,91.0,93.0,89.0,94.0,85.0,90.0,1,6,"Muy Bueno"
522,"Felipe Ramírez Hernández",72.0,74.0,73.0,75.0,70.0,78.0,65.0,70.0,4,3,"Regular"
523,"Gabriela Sánchez Ruiz",88.0,87.0,89.0,85.0,84.0,91.0,83.0,86.0,2,5,"Bueno"
524,"Pedro García López",80.0,85.0,82.0,88.0,83.0,87.0,78.0,80.0,3,4,"Bueno"
525,"Marta Jiménez Pérez",75.0,78.0,77.0,76.0,74.0,79.0,70.0,75.0,4,2,"Regular"
526,"Raúl Martínez Torres",85.0,90.0,88.0,89.0,87.0,91.0,80.0,85.0,2,5,"Bueno"
527,"Isabel Sánchez González",93.0,94.0,92.0,95.0,90.0,97.0,89.0,92.0,1,6,"Excelente"
528,"Carmen Hernández Fernández",68.0,70.0,69.0,67.0,65.0,71.0,60.0,65.0,5,3,"Deficiente"
529,"Luis Gómez Rodríguez",88.0,85.0,87.0,84.0,82.0,90.0,85.0,88.0,2,4,"Bueno"
530,"Ana María Pérez García",72.0,75.0,74.0,78.0,73.0,76.0,68.0,70.0,4,3,"Regular"
531,"Enrique Fernández Ramírez",80.0,85.0,83.0,87.0,81.0,88.0,75.0,80.0,3,5,"Bueno"
532,"Rosa López Jiménez",92.0,90.0,91.0,89.0,88.0,93.0,84.0,90.0,1,6,"Muy Bueno"
533,"Carlos Martínez Gómez",75.0,78.0,76.0,77.0,74.0,80.0,72.0,75.0,3,4,"Regular"
534,"Laura Torres Hernández",89.0,91.0,90.0,93.0,88.0,95.0,86.0,89.0,2,5,"Bueno"
535,"Fernando González Sánchez",70.0,72.0,71.0,73.0,68.0,75.0,65.0,70.0,5,3,"Deficiente"
536,"Clara Ramírez López",83.0,85.0,84.0,88.0,82.0,90.0,78.0,83.0,2,4,"Bueno"
537,"Esteban Pérez Torres",90.0,93.0,91.0,95.0,89.0,96.0,85.0,90.0,1,6,"Muy Bueno"
538,"Sara Gómez Martínez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
539,"Manuel Fernández González",88.0,85.0,86.0,84.0,81.0,89.0,75.0,83.0,3,5,"Bueno"
540,"Ana Torres Ramírez",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,4,3,"Regular"
541,"Roberto Jiménez López",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
542,"Carmen García Sánchez",68.0,70.0,69.0,71.0,66.0,73.0,60.0,65.0,5,3,"Deficiente"
543,"Javier González Hernández",85.0,88.0,86.0,87.0,84.0,90.0,80.0,85.0,2,5,"Bueno"
544,"Lucía Ramírez Pérez",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,3,4,"Regular"
545,"Alberto Fernández García",90.0,93.0,91.0,95.0,89.0,96.0,85.0,90.0,1,6,"Muy Bueno"
546,"Sandra López Torres",75.0,77.0,76.0,78.0,74.0,80.0,70.0,75.0,4,3,"Regular"
547,"Marcos Pérez Jiménez",82.0,85.0,83.0,87.0,81.0,88.0,75.0,80.0,2,4,"Bueno"
548,"Clara González Martínez",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
549,"Daniel Ramírez García",70.0,73.0,72.0,75.0,70.0,78.0,65.0,70.0,5,3,"Regular"
550,"Isabel Hernández López",90.0,92.0,91.0,94.0,88.0,96.0,85.0,90.0,1,6,"Excelente"
551,"Raúl Sánchez Pérez",68.0,70.0,69.0,71.0,66.0,73.0,60.0,65.0,5,3,"Deficiente"
552,"Marta Jiménez González",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
553,"Juan Torres Ramírez",75.0,77.0,76.0,78.0,74.0,80.0,70.0,75.0,4,3,"Regular"
554,"Carmen López Fernández",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
555,"Pedro García Hernández",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
556,"Lucía Ramírez Sánchez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
557,"Alberto Fernández Pérez",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
558,"Laura López Jiménez",70.0,73.0,72.0,75.0,70.0,78.0,65.0,70.0,5,3,"Regular"
559,"Carlos Jiménez González",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
560,"Sara Ramírez Hernández",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
561,"Felipe Pérez Sánchez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
562,"Ana García Torres",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
563,"Luis Fernández Jiménez",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,3,4,"Regular"
564,"Patricia Sánchez Ramírez",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
565,"Jorge Torres González",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
566,"Carmen Pérez Jiménez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
567,"Sofía López Ramírez",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
568,"Andrés Jiménez Fernández",75.0,77.0,76.0,78.0,74.0,80.0,70.0,75.0,4,3,"Regular"
569,"Isabel Ramírez Pérez",90.0,92.0,91.0,94.0,88.0,96.0,85.0,90.0,1,6,"Excelente"
570,"David Fernández Ramírez",68.0,70.0,69.0,71.0,66.0,73.0,60.0,65.0,5,3,"Deficiente"
571,"Clara Jiménez García",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
572,"Felipe Pérez González",70.0,73.0,72.0,75.0,70.0,78.0,65.0,70.0,5,3,"Regular"
573,"Lucía Fernández Ramírez",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
574,"Carlos Sánchez Jiménez",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
575,"Laura Torres García",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
576,"Manuel Ramírez López",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
577,"Ana Jiménez Pérez",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,3,4,"Regular"
578,"Javier García Sánchez",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
579,"Isabel Torres González",90.0,92.0,91.0,94.0,88.0,96.0,85.0,90.0,1,6,"Excelente"
580,"Raúl Fernández Ramírez",68.0,70.0,69.0,71.0,66.0,73.0,60.0,65.0,5,3,"Deficiente"
581,"Marta Pérez Jiménez",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
582,"Luis Jiménez López",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,3,4,"Regular"
583,"Patricia García Torres",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
584,"Juan Fernández Pérez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
585,"Cristina Sánchez Jiménez",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
586,"Fernando Pérez Torres",70.0,73.0,72.0,75.0,70.0,78.0,65.0,70.0,5,3,"Regular"
587,"Sofía Jiménez García",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
588,"Jorge Torres Sánchez",92.0,95.0,93.0,94.0,90.0,97.0,85.0,92.0,1,6,"Excelente"
589,"Sara Fernández Ramírez",65.0,67.0,66.0,68.0,62.0,70.0,55.0,60.0,6,2,"Deficiente"
590,"Claudia Jiménez López",88.0,90.0,89.0,91.0,85.0,93.0,80.0,88.0,2,5,"Muy Bueno"
591,"Daniel García Pérez",78.0,80.0,79.0,82.0,77.0,85.0,70.0,75.0,3,4,"Regular"
592,"Laura Sánchez Ramírez",85.0,88.0,87.0,89.0,84.0,91.0,80.0,85.0,2,5,"Bueno"
593,"Luis Mendoza Ortiz",86.0,92.0,84.0,87.0,85.0,90.0,78.0,83.0,2,4,"Bueno"
594,"Ana Rodríguez Martínez",74.0,79.0,82.0,76.0,78.0,82.0,71.0,75.0,3,3,"Regular"
595,"Carlos Jiménez Silva",91.0,94.0,90.0,92.0,89.0,96.0,86.0,89.0,1,6,"Muy Bueno"
596,"María González Pérez",66.0,70.0,68.0,69.0,67.0,72.0,60.0,65.0,5,2,"Deficiente"
597,"José Fernández López",85.0,89.0,87.0,88.0,86.0,91.0,80.0,84.0,2,5,"Bueno"
598,"Lucía Martínez Torres",77.0,80.0,79.0,81.0,75.0,82.0,68.0,73.0,4,4,"Regular"
599,"Miguel Ramírez Hernández",92.0,95.0,94.0,91.0,89.0,97.0,87.0,90.0,1,6,"Excelente"
600,"Sandra Gómez Ramírez",69.0,72.0,71.0,70.0,68.0,74.0,61.0,66.0,5,3,"Deficiente"
601,"Alberto Torres Gómez",88.0,90.0,89.0,87.0,85.0,92.0,82.0,87.0,2,5,"Bueno"
602,"Carolina Pérez García",75.0,78.0,76.0,77.0,74.0,80.0,69.0,73.0,4,4,"Regular"
603,"Daniel López Hernández",89.0,93.0,91.0,90.0,88.0,95.0,84.0,88.0,1,6,"Muy Bueno"
604,"Paula Ramírez Jiménez",68.0,70.0,69.0,67.0,65.0,72.0,60.0,64.0,5,2,"Deficiente"
605,"Raúl Torres Fernández",86.0,89.0,88.0,87.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
606,"Laura Gómez Pérez",73.0,76.0,75.0,77.0,72.0,79.0,67.0,70.0,4,4,"Regular"
607,"Sergio Fernández Jiménez",91.0,94.0,92.0,93.0,90.0,97.0,85.0,89.0,1,6,"Muy Bueno"
608,"Marta Martínez García",67.0,69.0,68.0,70.0,66.0,73.0,62.0,65.0,5,3,"Deficiente"
609,"Jorge Ramírez Torres",84.0,88.0,87.0,85.0,83.0,89.0,78.0,81.0,2,4,"Bueno"
610,"Claudia García Pérez",74.0,77.0,76.0,75.0,73.0,80.0,69.0,71.0,4,4,"Regular"
611,"Fernando López Martínez",90.0,93.0,91.0,92.0,89.0,95.0,83.0,87.0,1,6,"Muy Bueno"
612,"Elena Ramírez Sánchez",69.0,72.0,70.0,71.0,68.0,74.0,60.0,65.0,5,2,"Deficiente"
613,"David Torres González",86.0,88.0,87.0,89.0,86.0,90.0,78.0,83.0,2,5,"Bueno"
614,"Patricia Pérez Ramírez",76.0,79.0,78.0,77.0,75.0,81.0,68.0,72.0,3,4,"Regular"
615,"Alejandro Jiménez López",91.0,94.0,92.0,93.0,91.0,96.0,84.0,88.0,1,6,"Muy Bueno"
616,"Carmen González Ramírez",68.0,71.0,70.0,69.0,67.0,73.0,61.0,64.0,5,3,"Deficiente"
617,"Marcos Fernández Torres",84.0,87.0,86.0,88.0,85.0,90.0,79.0,82.0,2,5,"Bueno"
618,"Laura Ramírez García",73.0,76.0,74.0,75.0,72.0,78.0,68.0,71.0,4,4,"Regular"
619,"Esteban Pérez Jiménez",90.0,92.0,91.0,90.0,89.0,95.0,83.0,87.0,1,6,"Muy Bueno"
620,"Ana Gómez Torres",66.0,68.0,67.0,70.0,66.0,72.0,60.0,63.0,5,2,"Deficiente"
621,"Juan García Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
622,"María Fernández Pérez",77.0,80.0,79.0,78.0,76.0,82.0,69.0,73.0,4,3,"Regular"
623,"Luis Jiménez González",92.0,95.0,94.0,93.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
624,"Sofía López Torres",68.0,70.0,69.0,68.0,66.0,73.0,60.0,64.0,5,2,"Deficiente"
625,"Diego Ramírez García",86.0,88.0,87.0,85.0,84.0,90.0,79.0,82.0,2,5,"Bueno"
626,"Carla Pérez Martínez",74.0,76.0,75.0,78.0,72.0,79.0,68.0,71.0,4,4,"Regular"
627,"Javier Fernández Ramírez",90.0,93.0,91.0,92.0,89.0,95.0,83.0,87.0,1,6,"Muy Bueno"
628,"Cristina Torres Jiménez",69.0,71.0,70.0,72.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
629,"Raúl González López",84.0,87.0,86.0,88.0,85.0,90.0,78.0,83.0,2,5,"Bueno"
630,"Mónica García Pérez",75.0,77.0,76.0,74.0,73.0,80.0,69.0,72.0,4,4,"Regular"
631,"Daniel Ramírez Fernández",91.0,94.0,93.0,92.0,90.0,96.0,84.0,88.0,1,6,"Muy Bueno"
632,"Sara Pérez Jiménez",67.0,69.0,68.0,67.0,65.0,72.0,60.0,63.0,5,3,"Deficiente"
633,"Miguel Fernández López",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
634,"Patricia Ramírez Torres",76.0,78.0,77.0,79.0,75.0,82.0,68.0,71.0,3,4,"Regular"
635,"Andrés González García",90.0,93.0,91.0,92.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
636,"Elena Jiménez Ramírez",68.0,71.0,69.0,70.0,67.0,74.0,60.0,65.0,5,2,"Deficiente"
637,"Carlos Torres Pérez",84.0,86.0,85.0,87.0,85.0,89.0,78.0,81.0,2,5,"Bueno"
638,"Claudia Fernández González",73.0,76.0,75.0,75.0,72.0,79.0,68.0,70.0,4,4,"Regular"
639,"José Ramírez Jiménez",89.0,92.0,91.0,90.0,88.0,94.0,82.0,86.0,1,6,"Muy Bueno"
